,train_loss,train_accuracy
0,2.281867512253557,14.106666666666667
1,2.175812680075672,25.955000000000002
2,2.060447900788362,40.50666666666667
3,1.9182626885900107,56.766666666666666
4,1.8310058226209198,64.715
5,1.772895078160869,70.30666666666666
6,1.751228008697283,71.81166666666667
7,1.7383810629976841,72.83833333333334
8,1.7291598909699322,73.565
9,1.7148580879036541,75.16166666666668
10,1.6822700264103123,78.98666666666668
11,1.655799703048997,81.44500000000001
12,1.6410020828755412,82.77
13,1.6321008993364345,83.52166666666668
14,1.622676901217463,84.44666666666667
15,1.6166138145715192,85.01666666666667
16,1.6115449311128291,85.48166666666667
17,1.6067289019952697,85.91166666666666
18,1.601972845571636,86.325
19,1.5975159266864323,86.82666666666667
20,1.5918311536439191,87.40166666666667
21,1.5875555531048333,87.79333333333334
22,1.5842537885027395,88.05333333333333
23,1.5802039815418762,88.45833333333334
24,1.5747378027515375,89.03166666666667
25,1.5684522992766499,89.67833333333334
26,1.5642430078246181,90.02
27,1.5592164113831652,90.56166666666667
28,1.5552824359458657,90.93333333333334
29,1.5530577013487505,91.11166666666666
30,1.5507470394756746,91.35833333333333
31,1.54909752477715,91.47999999999999
32,1.5461580412728444,91.755
33,1.544397314728451,91.96333333333332
34,1.5432687087862216,92.03833333333333
35,1.541185949911186,92.28833333333334
36,1.539317127992349,92.41833333333334
37,1.5387613521710126,92.415
38,1.537065439386917,92.61166666666666
39,1.5360313732740967,92.74166666666666
40,1.5342292470464316,92.90166666666667
41,1.5335005885248238,92.96333333333334
42,1.5320760306518988,93.08833333333332
43,1.5309742150276184,93.20166666666667
44,1.530007021005218,93.31833333333334
45,1.528988196651565,93.41000000000001
46,1.5276102366477953,93.50500000000001
47,1.526416338074691,93.68666666666667
48,1.5262867720650732,93.65
49,1.5258449178768874,93.67333333333333
50,1.5247920871035103,93.8
51,1.523509104622961,93.93
52,1.5239862516236453,93.86166666666666
53,1.522785711135944,93.97
54,1.5218403766404336,94.06
55,1.5215618793389944,94.09666666666666
56,1.5214590833131187,94.10166666666666
57,1.520296741650303,94.22166666666666
58,1.5198815471327878,94.24
59,1.5185883345126097,94.39333333333333
60,1.5182323290595123,94.39833333333333
61,1.5169663538556608,94.52666666666667
62,1.5173648405176747,94.52000000000001
63,1.5171776209304595,94.49833333333333
64,1.5162222827675478,94.66499999999999
65,1.5157677049575846,94.66
66,1.5148520670465802,94.745
67,1.5144549707359842,94.78666666666666
68,1.5134815757971074,94.88166666666666
69,1.512676788291442,94.94333333333333
70,1.5134626848102888,94.85166666666667
71,1.513772842472297,94.85333333333334
72,1.5117979786797637,95.03833333333334
73,1.5116212622189056,95.05
74,1.5103795846133847,95.18166666666666
75,1.5105640628952979,95.15333333333334
76,1.5098830814808946,95.28
77,1.5100947646444032,95.185
78,1.5095955827342922,95.245
79,1.508848833885275,95.32666666666667
80,1.5084264138614196,95.38166666666666
81,1.5071911974502266,95.51833333333335
82,1.5082828551213139,95.41833333333334
83,1.5071030949224544,95.47666666666666
84,1.5066658230478573,95.52666666666667
85,1.5067016745427018,95.55833333333334
86,1.5063125774550277,95.55333333333334
87,1.5059932434736794,95.64833333333334
88,1.5058507700718804,95.625
89,1.5059847915604683,95.6
90,1.506008270961137,95.61833333333334
91,1.5040768318847306,95.81666666666668
92,1.5042533734714034,95.77166666666666
93,1.504570050788586,95.75666666666666
94,1.5043816548674858,95.78
95,1.5035086555013273,95.83500000000001
96,1.5036020004418869,95.83
97,1.5026413769101787,95.98166666666667
98,1.5033405559149373,95.84666666666666
99,1.502588986079576,95.95
